日付,来場者数,AD証入場者数
2025-04-13,146426,22087
2025-04-14,70488,16828
2025-04-15,63719,15938
2025-04-16,73869,15166
2025-04-17,82692,15040
2025-04-18,93908,15187
2025-04-19,108773,14692
2025-04-20,95524,16142
2025-04-21,99638,17352
2025-04-22,103729,17099
2025-04-23,99140,17795
2025-04-24,108888,17376
2025-04-25,110759,17591
2025-04-26,122102,17299
2025-04-27,102015,16985
2025-04-28,121282,17465
2025-04-29,97559,17813
2025-04-30,101397,17621
2025-05-01,105945,17548
2025-05-02,104805,17741
2025-05-03,120696,17886
2025-05-04,136805,16289
2025-05-05,126371,16804
2025-05-06,76517,16935
2025-05-07,91688,16932
2025-05-08,105449,18578
2025-05-09,105782,19813
2025-05-10,128918,21373
2025-05-11,121667,18268
2025-05-12,117658,17856
2025-05-13,123640,18087
2025-05-14,129527,17668
2025-05-15,129456,17762
2025-05-16,132817,17700
2025-05-17,123974,16464
2025-05-18,121927,16404
2025-05-19,133661,17441
2025-05-20,129506,17856
2025-05-21,133581,19012
2025-05-22,137767,18026
2025-05-23,163509,18264
2025-05-24,132105,16373
2025-05-25,143752,16746
2025-05-26,149197,18174
2025-05-27,139790,18875
2025-05-28,149383,18852
2025-05-29,145291,18578
2025-05-30,152666,18599
2025-05-31,187762,17839
